id,fechaCreacion,fechaEntrega,descripcion,idEstatusPendiente,idPersonaAsignado,idPersonaQueAsigno,observaciones  
0,2018/07/09 00:00:00,2018/07/09 00:00:00,"realizar pago trimestral de facturación, señra mares",3,3,1,"se genero el documento para que ella pague en el banco, vence los dias 16 de cada mes y hoy es dia 10, entonces aclararle que el primer mes solo disfrutara 6 dias del sistema y si quiere que sean los tres meses completos, tiene que pagar el dia 16 d"
0,2018/07/09 00:00:00,2018/07/12 00:00:00,"IR A LOS COSMETICOS QUE ESTAN POR EL OXXO EN CALLE PROF. JOSE REYES CON EL SR JORGE, SE LE COBRO 1200 POR PONER 4 CAMARAS, TODAS ESTAN EN CORTITO POR ESO SE LE COBRO BARATO NO EXCEDEN DE 6 MTS DE DISTANCIA Y NO LLEVARA CANALETA, TAMPOCO REPISA NI PU",3,6,1,YA QUEDARON INSTALADAS EL DIA 12 DE JULIO 2017
0,2018/07/09 00:00:00,2018/07/11 00:00:00,enviar cotizaciones de computadoras a morelos,3,1,1,se concreto la venta
0,2018/07/09 00:00:00,2018/07/09 00:00:00,crear los documentos de pago para 6 meses de elvira del rio muñz,3,1,1,listo
0,2018/07/10 00:00:00,2018/07/10 00:00:00,"cotizar multifuncional laser, monocromayico hp o samsung de alto rendimiento y que sea compatible",3,1,2,
0,2018/07/11 00:00:00,2018/07/19 00:00:00,darle seguimiento al facture que llevaran hoy,3,1,1,hay que ampliar en facture la descripcion en un reporte ya que el cliente ocupa que asi salgan sus facturas
0,2018/07/11 00:00:00,2018/07/13 00:00:00,enviar cotizaciones a toñ,3,1,1,"si quiso la impresora, ya se aparto ir jueves 12 por ella YA SE FACTURO Y YA PASARON POR ELLA"
0,2018/07/10 00:00:00,2018/07/10 00:00:00,1000 timbres eforsa,3,7,1,
0,2018/07/11 00:00:00,2018/07/19 00:00:00,"Generar escritorio de servicios para geras en la nueva empresa y comprar 200 folios para asignarselos, tambien configurarle el noi para la nueva empresa",3,5,1,ya quedo
0,2018/07/11 00:00:00,2018/07/12 00:00:00,llevarle a juan lara un cartucho de tinta para su impresora a la tienda,3,5,7,
0,2018/07/11 00:00:00,2018/07/17 00:00:00,hacer el pago de la licencia de aspel de la señra mares de preferencia ir al banco,3,5,11,
0,2018/07/12 00:00:00,2018/07/13 00:00:00,conseguir cargador samsung de la foto what,3,1,2,ya lo encargue.... solo esperar que llegue seran 750.00
0,2018/07/12 00:00:00,2018/07/16 00:00:00,dar lumpieza y conseguir cargador laptop pp esta en maletin negro y huele deamadre a vaca,3,6,2,"SE LE DIO LIMPIEZA Y EMPASTADO DE PROCESADOR, Y LIMPIEZA POR FUERA , ESTABA BIEN SUCIA, SE REPARO EL CARGADOR , SE SOLDO PUNTA EN CARGADOR."
0,2018/07/13 00:00:00,2018/07/13 00:00:00,ir a con jorge banda el de los cosmeticos a calar el disco duro ,3,1,1,ya quedo era el cablecillo
0,2018/07/12 00:00:00,2018/07/13 00:00:00,"LLEVAR 7 TONERS A ENRIQUE ESTRADA DEL TN1060    AVERO, FACTURARLOS MENORES A 2000 PARA QUE LOS PAGUEN EN EFECTIVO",3,1,1,"ya quedaron, también se pagaron"
0,2018/07/13 00:00:00,2018/07/01 00:00:00,ir a notaria a instalar un programa que francis ya no pudo dirigirse con ella,3,1,3,ya lo resolvio jechus hay que cobrar 120 de ese trabajo
0,2018/07/13 00:00:00,2018/07/13 00:00:00,pagar dominio en oxxo de soproti.com,3,1,1,ya quedo
0,2018/07/13 00:00:00,2018/07/13 00:00:00,ir con los papas de botello a poner un cable un plug,3,1,1,ya quedo
0,2018/07/13 00:00:00,2018/08/20 00:00:00,PAGO DE DOMINIO NO-IP APROXIMADAMENTE 1500 PESOS,3,1,1,
0,2018/07/13 00:00:00,2018/08/30 00:00:00,"GENERAR REPORTE DE COMPRAS, VENTAS DE SOPROTI DEL MES DE JULIO",3,6,11,
0,2018/07/13 00:00:00,2018/08/30 00:00:00,"GENERAR REPORTE DE COMPRAS, VENTAS DE SOPROTI DEL MES DE AGOSTO",3,1,8,
0,2018/07/13 00:00:00,2018/09/24 00:00:00,"GENERAR REPORTE DE COMPRAS, VENTAS DE SOPROTI DEL MES DE SEPTIEMBRE",3,1,2,
0,2018/07/13 00:00:00,2018/10/25 00:00:00,"GENERAR REPORTE DE COMPRAS, VENTAS DE SOPROTI DEL MES DE OCTUBRE",3,7,1,
